inst.dropped,int.f0,app.mthd.os.f0,man.dm.f0,man.source.pig.f0,app.mthd.cs.f0,int.r1,app.mthd.bc.r1,man.dm.r1,air.temp.r1,wind.sqrt.r1,app.mthd.ts.r1,man.ph.r1,int.r2,rain.rate.r2,int.r3,app.mthd.cs.r3,man.ph.r3,incorp.shallow.f4,incorp.deep.f4,incorp.deep.r3,rain.rate.r5,int.r5
loocv-104,0.912376006786032,-2.6088779056026,0.0687599094251365,-1.20873246090667,-4.62266552088498,-1.9226163897896,0.794539199361231,0.117528484277897,0.0403791388514961,0.547434033323972,-0.133471464424941,0.564998531111511,-1.53355297831135,0.774272128857616,-2.77684015221584,-0.16464281684858,-0.0718126230797729,-0.987338624280746,-4.9963736099452,-2,-0.247037757536841,-1.8
loocv-202,0.533802205065587,-2.65280246212108,0.130763473801428,-1.13768658929493,-4.59665524685722,-1.98760223878705,0.76148923440721,0.101212791890157,0.0449916273055207,0.590613813669181,-0.260005900783672,0.495224640203612,-1.97790434712936,1,-2.781281181686,-0.164036764559623,-0.0564873022194072,-0.894075212173522,-4.9976234205515,-1.99981472031135,1,-1.8
loocv-203,0.763988253986571,-2.65028290028872,0.130134299775188,-1.27522556527388,-6.2198878449293,-1.87188160455175,0.782058931701673,0.100921577761021,0.0410704439360881,0.555468126114855,-0.150032739980667,0.5679556873248,-1.52885075950759,0.77572878684949,-2.7610817518595,-0.178360440594186,-0.058835639631531,-0.987550119828541,-4.90261566906602,-2,0.0476794639509988,-1.8
loocv-204,0.701999477246473,-2.7175055820265,0.154965841474742,-1.26340421292057,-4.62457551102515,-1.85636025829589,0.794663488089485,0.0897073703062863,0.0414363194774321,0.539540264595178,-0.146816794243414,0.564914697600173,-1.53851116732658,0.755439132577837,-2.76178869173971,-0.184628667506459,-0.0450741104379534,-0.989371916539764,-4.99554341548116,-2,0.348722300855379,-1.8
loocv-205,0.818372981607089,-2.55311168073383,0.108360415786836,-1.31611470698584,-4.54420582842485,-1.95448890691492,0.848429769817693,0.110870110832893,0.041263886664408,0.587294745144535,-0.0843471822545823,0.596915428285273,-1.52241397969244,0.776017189725599,-2.77571270083315,-0.198712254451135,-0.0968854998354118,-0.936757849531101,-4.99672142432918,-2,-0.420786245656774,-1.8
loocv-206,0.797558911768383,-2.65677363425516,0.11470689915827,-1.28873785530142,-4.60266701783325,-1.87109657749983,0.771402563748347,0.108655467563509,0.0411339889510584,0.550244423026794,-0.159996336960943,0.57678408703193,-1.52570018259131,0.774694042875992,-2.76595941867054,-0.17701034811313,-0.0630381431213431,-0.967694952113908,-4.9970637940399,-2,-0.0737025699112065,-1.8
loocv-207,0.785433967899958,-2.59926180740234,0.118556534458381,-1.28038472023434,-7.6891703629897,-1.88163069730184,0.83852111103177,0.0984338882872167,0.0405853923179387,0.549671791889742,-0.132834697661607,0.568428068018445,-1.53028313281778,0.774218023884543,-2.77051850377835,-0.166350836514838,-0.0641563735232887,-0.992855333681811,-4.84098535637734,-2,0.00409233770069664,-1.8
loocv-208,0.741597253910565,-2.58131218174152,0.124331743748285,-1.28867047795428,-4.59515116746852,-1.94999205404607,0.873705278828944,0.10344014566884,0.0418386239932038,0.576550462428888,-0.0937650370631898,0.58965216707128,-1.55413801217117,0.79890568790022,-2.74944345568751,-0.19128736223768,-0.0692590031790244,-0.809200872298269,-4.99711627416533,-2,-0.269266322966929,-1.8
loocv-209,0.848117129919695,-2.67308521356628,0.114205771341594,-1.3245743158469,-4.59299166989078,-1.87468685728492,0.78584406235159,0.105350678763183,0.0400481786634746,0.542158407875511,-0.146437203827437,0.570768710856355,-1.51183250058575,0.772395566333622,-2.76393644393742,-0.178237241718608,-0.0620690235068724,-0.941537735937378,-4.99702904436029,-1.99818420783493,-0.108224390993551,-1.8
loocv-210,0.768215105867125,-2.63702212820388,0.121236969843518,-1.27099209248097,-4.60285653144151,-1.8843579541217,0.799457511862486,0.104823527288615,0.0412885669951297,0.551670167333935,-0.152682608164795,0.563510632301682,-1.54344933035787,0.786033048199295,-2.76659713979015,-0.174561002778964,-0.0658516644768609,-0.985860337702298,-4.99708473497046,-2,-0.150982628584141,-1.8
loocv-212,0.770848145428933,-3.02392503322312,0.473085486900051,-0.975065956319465,-4.68488050837524,-1.54476598693572,0.723500526024771,-0.0208316083634034,0.0331676059537134,0.499661308320755,-0.145828956827527,0.258574280056384,-1.13394920391822,0.713960014786212,-2.73341672748319,-0.248358353035107,0.0887301338571021,-1.32680864473891,-4.99224728062641,-2,-0.0214758344529823,-1.8
loocv-303,0.731178168103623,-2.63259874563872,0.137832108884513,-1.25259039097683,-4.88276064572087,-1.86706111089275,0.791840552443716,0.0978383371201988,0.0407803466522563,0.556081914281229,-0.148509760564742,0.572949184041381,-1.53288752627008,0.777640187008943,-2.76279235705584,-0.178702622542329,-0.063621539007602,-1.22468426582974,-4.98215122334235,-2,0.0326999366797195,-1.8
loocv-304,0.736484685568134,-2.63279858173932,0.134502256936093,-1.26508287318747,-5.25880136601401,-1.86932339910641,0.790504368754784,0.0991445162038821,0.0409919368139034,0.555231474624664,-0.150038014209796,0.570449854345594,-1.53525827984967,0.778732218143684,-2.76276043298527,-0.177476722462577,-0.0591540402683058,-0.983264868830321,-4.96177087041062,-2,0.0269618222836651,-1.8
loocv-214,-0.1189234327998,-1.35435298053454,0.519901185398544,-0.300062186406484,-7.81870665482712,-1.43845795605985,0.408073623822735,-0.0788422301779766,0.0537000218090977,0.527255980368523,-0.187279327312172,0.569232074868674,-1.58824266792668,0.774044512705227,-2.87300600681328,-0.125498684845842,0.161850431342637,-0.715844714663937,-5,-2,0.0551592949531457,-1.8
